Date,BOA Comdty,CTA Comdty,DMA Index,GXA Index,HGA Comdty,KCA Comdty,KMA Index,LCA Comdty,LHA Comdty,NQA Index,SBA Comdty,SIA Comdty,UXA Index,VGA Index,Z A Index
03/01/2000,17.45685,58.7842,NULL,6938.754,NULL,129.014,NULL,NULL,64.6416,3900.3965,6.49649,NULL,NULL,4919.715,NULL
04/01/2000,17.7708,58.2162,NULL,6781.74,88.4884,128.4063,137.4373,NULL,64.29834,3614.715,6.34528,543.9434,NULL,4716.712,6869.87
05/01/2000,17.9537,59.118,NULL,6677.22,89.33925,129.87975,129.8885,NULL,63.91385,3530.064,6.42195,531.042,NULL,4605.192,6714.2075
06/01/2000,18.02391,59.5595,NULL,6647.986,89.1435,128.07795,125.8257,NULL,64.6791,3365.8625,6.50592,527.1225,NULL,4586.272,6654.512
07/01/2000,18.1222,61.13415,NULL,6982.74,89.29425,126.027,124.62,NULL,65.45064,3614.715,6.68325,529.4092,NULL,4728.438,6702.345
10/01/2000,17.9895,60.7818,NULL,7111.332,88.43835,129.243,128.256,NULL,65.9126,3827.64,6.7134,529.7355,NULL,4805.144,6793.56
11/01/2000,17.889,61.6456,NULL,7088.24,88.7034,129.243,125.4253,NULL,66.38025,3643.125,6.47647,529.2831,NULL,4759.235,6700.04
12/01/2000,17.889,61.5615,NULL,7072.116,90.4706,130.0095,122.7951,NULL,65.9481,3560.607,6.4758,526.0735,NULL,4720.808,6731.82
13/01/2000,18.2865,61.9468,NULL,7141.6345,89.8688,129.83835,124.1175,NULL,65.5962,3713.6075,6.56265,529.3834,NULL,4767.996,6728.475
14/01/2000,18.2182,61.8735,NULL,7383.416,90.3703,123.2231,123.369,NULL,66.2295,3812.9045,6.49296,528.2277,NULL,4945.872,6849.487
17/01/2000,NULL,NULL,NULL,7472.175,NULL,NULL,126.9558,NULL,NULL,NULL,NULL,NULL,NULL,4992.84,6878.22
18/01/2000,18.2709,61.506,NULL,7270.747,90.852,126.126,126.378,NULL,66.1491,3855.696,6.4758,530.0295,NULL,4846.11,6672.4575
19/01/2000,18.7187,63.2893,NULL,7268.007,92.1672,127.127,123.1125,NULL,66.5829,3905.902,6.58624,533.253,NULL,4812.808,6617.208
20/01/2000,18.7561,63.126,NULL,7279.029,91.5555,122.47235,121.743,NULL,67.00335,3940.2855,6.64648,536.9364,NULL,4840.662,6529.485
21/01/2000,18.66726,61.623,NULL,7172.1825,91.3138,121.8933,122.366,NULL,67.938,3912.465,6.58658,537.7372,NULL,4758.498,6508.992
24/01/2000,18.9254,61.6616,NULL,7097.7295,89.99775,123.16275,122.122,NULL,67.21715,3740.2365,6.49296,543.102,NULL,4743.739,6560.136
25/01/2000,18.8188,63.23192,NULL,7022.517,88.7772,123.6468,117.0501,NULL,67.48575,3849.3455,6.49944,545.2125,NULL,4731.727,6419.413
